#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2021-09-08-02-16-09
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
#types	time	string	addr	port	addr	port	string	string	bool	string	string
1631067369.787404	Cpg28w477rJsRY551d	10.24.0.2	65302	23.45.32.77	443	bad_TCP_checksum	-	F	zeek	TCP
1631067736.848153	COilJsI87amhWbyRc	10.24.0.2	49539	54.148.190.121	443	SYN_seq_jump	-	F	zeek	-
1631067736.865857	COilJsI87amhWbyRc	10.24.0.2	49539	54.148.190.121	443	above_hole_data_without_any_acks	-	F	zeek	TCP
1631067736.875604	Cew8dfxpiWF5XLoQj	10.24.0.2	61024	34.202.93.43	443	window_recision	-	F	zeek	-
1631067737.001483	COilJsI87amhWbyRc	10.24.0.2	49539	54.148.190.121	443	window_recision	-	F	zeek	-
1631067737.678272	COilJsI87amhWbyRc	10.24.0.2	49539	54.148.190.121	443	SYN_inside_connection	-	F	zeek	-
1631067800.400130	CeroeA4RbLShcGIOWg	10.24.0.2	61123	205.171.175.22	8080	bad_HTTP_request	-	F	zeek	HTTP
1631067800.400130	CeroeA4RbLShcGIOWg	10.24.0.2	61123	205.171.175.22	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1631067800.447200	CMqvuDOQiNGFvba22	10.24.0.2	56097	66.205.243.2	8080	bad_HTTP_request	-	F	zeek	HTTP
1631067800.447200	CMqvuDOQiNGFvba22	10.24.0.2	56097	66.205.243.2	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1631067800.447254	CTNzV01p8VSHtxUvh6	10.24.0.2	55462	104.152.83.154	8080	bad_HTTP_request	-	F	zeek	HTTP
1631067800.447254	CTNzV01p8VSHtxUvh6	10.24.0.2	55462	104.152.83.154	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1631067800.491245	CvPdJy1SXrzhT7dT0b	10.24.0.2	53724	64.19.200.31	8080	bad_HTTP_request	-	F	zeek	HTTP
1631067800.491245	CvPdJy1SXrzhT7dT0b	10.24.0.2	53724	64.19.200.31	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1631067800.560145	CnDsfv1xII6uEbYQUi	10.24.0.2	54782	69.162.254.15	8080	bad_HTTP_request	-	F	zeek	HTTP
1631067800.560145	CnDsfv1xII6uEbYQUi	10.24.0.2	54782	69.162.254.15	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1631067800.604540	CaPXaI15dTVjdfaScb	10.24.0.2	61991	206.174.165.221	8080	bad_HTTP_request	-	F	zeek	HTTP
1631067800.604540	CaPXaI15dTVjdfaScb	10.24.0.2	61991	206.174.165.221	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1631067800.636092	CEk8Q62vmq1Q8M5Rx9	10.24.0.2	52520	65.155.248.157	8080	bad_HTTP_request	-	F	zeek	HTTP
1631067800.636092	CEk8Q62vmq1Q8M5Rx9	10.24.0.2	52520	65.155.248.157	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1631067800.636585	Cx5egf4kWs9PdYnBMk	10.24.0.2	57212	216.250.41.182	8080	bad_HTTP_request	-	F	zeek	HTTP
1631067800.636585	Cx5egf4kWs9PdYnBMk	10.24.0.2	57212	216.250.41.182	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1631067800.651411	C1O0gJ2CGh0VL2oVe	10.24.0.2	54879	65.49.27.56	8080	bad_HTTP_request	-	F	zeek	HTTP
1631067800.651411	C1O0gJ2CGh0VL2oVe	10.24.0.2	54879	65.49.27.56	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1631067800.718078	CQ0Sp13wyiBkRFUGkj	10.24.0.2	53507	206.251.40.37	8080	bad_HTTP_request	-	F	zeek	HTTP
1631067800.718078	CQ0Sp13wyiBkRFUGkj	10.24.0.2	53507	206.251.40.37	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1631069526.173156	CTzp5e4A1NjLsYwjd	10.24.0.2	60281	205.171.175.22	8080	bad_HTTP_request	-	F	zeek	HTTP
1631069526.173156	CTzp5e4A1NjLsYwjd	10.24.0.2	60281	205.171.175.22	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1631069526.174586	C1hYD33gEh29hi7D4e	10.24.0.2	61238	216.250.41.182	8080	bad_HTTP_request	-	F	zeek	HTTP
1631069526.174586	C1hYD33gEh29hi7D4e	10.24.0.2	61238	216.250.41.182	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1631069526.204688	CqknNXk6VmOhPIy7f	10.24.0.2	51025	64.19.200.31	8080	bad_HTTP_request	-	F	zeek	HTTP
1631069526.204688	CqknNXk6VmOhPIy7f	10.24.0.2	51025	64.19.200.31	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1631069526.204688	CjWeyt4sVd3x8Qfiok	10.24.0.2	57767	66.205.243.2	8080	bad_HTTP_request	-	F	zeek	HTTP
1631069526.204688	CjWeyt4sVd3x8Qfiok	10.24.0.2	57767	66.205.243.2	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1631069526.205331	CBdCLF1GyXjSepXC6j	10.24.0.2	56083	104.152.83.154	8080	bad_HTTP_request	-	F	zeek	HTTP
1631069526.205331	CBdCLF1GyXjSepXC6j	10.24.0.2	56083	104.152.83.154	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1631069526.238422	C1hF4s4ZiaNWBrOY9b	10.24.0.2	53711	69.162.254.15	8080	bad_HTTP_request	-	F	zeek	HTTP
1631069526.238422	C1hF4s4ZiaNWBrOY9b	10.24.0.2	53711	69.162.254.15	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1631069526.319105	CRaUVx2cKE11qkzU8g	10.24.0.2	57373	206.251.40.37	8080	bad_HTTP_request	-	F	zeek	HTTP
1631069526.319105	CRaUVx2cKE11qkzU8g	10.24.0.2	57373	206.251.40.37	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1631069526.319990	CdK67z2SapGcaikoAl	10.24.0.2	50627	65.155.248.157	8080	bad_HTTP_request	-	F	zeek	HTTP
1631069526.319990	CdK67z2SapGcaikoAl	10.24.0.2	50627	65.155.248.157	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1631069526.432364	C9H8203hvvCe5C572e	10.24.0.2	63401	65.49.27.56	8080	bad_HTTP_request	-	F	zeek	HTTP
1631069526.432364	C9H8203hvvCe5C572e	10.24.0.2	63401	65.49.27.56	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1631069526.432364	CzqL3hJgACjU7Fhqj	10.24.0.2	53540	206.174.165.221	8080	bad_HTTP_request	-	F	zeek	HTTP
1631069526.432364	CzqL3hJgACjU7Fhqj	10.24.0.2	53540	206.174.165.221	8080	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
#close	2021-09-08-03-00-00
