Volatility 3 Framework 2.0.0

Offset	Name	Size

0x70b74a0	\Windows\System32\tsddd.dll	216
0x70dfb20	\Windows\System32\sxssrv.dll	216
0x70dff20	\Windows\Fonts\ega80woa.fon	216
0x70e22e0	\Windows\System32\KBDUS.DLL	216
0x70e2430	\Windows\System32	216
0x70e36f0	\Windows\System32\framebuf.dll	216
0x70e5f20	\Windows\System32\vga.dll	216
0x70e7f20	\Windows\System32\drivers\monitor.sys	216
0x70ee9a0	\Windows\Fonts\ega40woa.fon	216
0x70fc4b0	\Windows\Fonts\vgafix.fon	216
0x7127070	\Users\Phil\AppData\Local\Microsoft\Media Player\CurrentDatabase_372.wmdb	216
0x71273c0	\Windows\System32\netutils.dll	216
0x7127a40	\Windows\System32\netapi32.dll	216
0x7127f20	\$Directory	216
0x7128070	\Windows\System32\clbcatq.dll	216
0x7128550	\Windows\System32\RpcRtRemote.dll	216
0x7128d20	\Windows\System32\cryptsp.dll	216
0x7129360	\Windows\System32\ssdpapi.dll	216
0x71297a0	\Windows\System32\webio.dll	216
0x7129be0	\Windows\System32\winhttp.dll	216
0x712af20	\Users\Phil\ntuser.dat.LOG2	216
0x71426f0	\Windows\Fonts\cga80woa.fon	216
0x7145400	\Endpoint	216
0x715eb00	\Windows\Fonts\vgasys.fon	216
0x716c4b0	\Windows\Fonts\vgaoem.fon	216
0x716c6e0	\Windows\Fonts\dosapp.fon	216
0x7172a40	\Windows\Fonts\upcil.ttf	216
0x71816f0	\Windows\Fonts\cga40woa.fon	216
0x7187360	\Windows\System32\rasadhlp.dll	216
0x718b1a0	\Users\Phil\AppData\Local\Microsoft\Windows\Explorer\thumbcache_1024.db	216
0x718bc00	\Users\Phil\AppData\Local\Microsoft\Windows\Explorer\thumbcache_idx.db	216
0x718c590	\$Directory	216
0x718c7c0	\Windows\System32\pautoenr.dll	216
0x718c9d0	\Windows\System32\umb.dll	216
0x718cd00	\Windows\System32\certcli.dll	216
0x718d2e0	\Windows\Prefetch\AgAppLaunch.db	216
0x718d550	\Windows\System32\winnsi.dll	216
0x71ae3e0	\Windows\System32\wship6.dll	216
0x71ae820	\Windows\System32\WSHTCPIP.DLL	216
0x71aec60	\Windows\System32\mswsock.dll	216
0x71b0890	\Endpoint	216
0x71b09e0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-TerminalServices-MiscRedirection-Package~31bf3856ad364e35~amd64~en-US~6.1.7601.17514.cat	216
0x71b1b40	\Windows\System32\netevent.dll	216
0x71b5b80	\Windows\System32\version.dll	216
0x71b5dd0	\Windows\System32\drmv2clt.dll	216
0x71b5f20	\Windows\System32\wmdrmdev.dll	216
0x71b9070	\ProgramData\Microsoft\Windows\DRM\blackbox.bin	216
0x71b9220	\Windows\System32\WinSATAPI.dll	216
0x71b9840	\Windows\System32\wmpmde.dll	216
0x71b9d40	\ProgramData\Microsoft\Windows\DRM\v3ks.sec	216
0x71ba240	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Media-Format-Package~31bf3856ad364e35~amd64~~6.1.7601.17514.cat	216
0x71ba490	\Windows\System32\msasn1.dll	216
0x71ba5e0	\ProgramData\Microsoft\Windows\DRM\drmstore.hds	216
0x71ba830	\Windows\System32\wintrust.dll	216
0x71baa80	\Windows\System32\shell32.dll	216
0x71bacd0	\Windows\System32\devobj.dll	216
0x71baf20	\Windows\System32\cfgmgr32.dll	216
0x71be3d0	\Windows\Fonts\LaoUIb.ttf	216
0x71bf3d0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-TerminalServices-WMIProvider-Package~31bf3856ad364e35~amd64~en-US~6.1.7601.17514.cat	216
0x71bfa90	\Windows\System32\dxgi.dll	216
0x71c0070	\Windows\System32\MSMPEG2ENC.DLL	216
0x71c0420	\Windows\System32\winmm.dll	216
0x71c0980	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-TFTP-Client-Package~31bf3856ad364e35~amd64~~6.1.7601.17514.cat	216
0x71c1340	\Windows\System32\nlaapi.dll	216
0x71c19c0	\Windows\System32\netprofm.dll	216
